Deal Number,FE Price,FE Margin,F&I (BE) Margin,Grand Total Mrgn,After Tax Price ,Delivery Date
12986,"8,251.00","1,151.83",449.00,"1,600.83","8,962.39",08/18/2023 08:00:00.000 
12992,"15,035.00",30.86,745.39,776.25,"16,936.61",08/18/2023 08:00:00.000 
12993,"8,896.75","1,573.70","2,764.25","4,337.95","13,629.02",08/18/2023 08:00:00.000 
12989,"3,125.75",-555.47,199.00,-356.47,"3,350.00",08/16/2023 08:00:00.000 
12990,"16,899.00","2,957.12",819.00,"3,776.12","18,378.77",08/16/2023 08:00:00.000 
12987,"9,749.00","1,616.37",720.00,"2,336.37","11,784.39",08/15/2023 08:00:00.000 
12971,"1,359.00",179.53,199.00,378.53,"1,672.03",08/14/2023 08:00:00.000 
12985,"6,499.00",872.40,"1,084.00","1,956.40","7,734.18",08/12/2023 08:00:00.000 
12983,"11,470.09","1,231.04",349.00,"1,580.04","12,198.41",08/11/2023 08:00:00.000 
12943,"10,337.25","1,620.00","1,085.00","2,705.00","12,311.27",08/09/2023 08:00:00.000 
12976,"5,500.00",758.35,991.00,"1,749.35","7,260.24",08/04/2023 08:00:00.000 
12973,"8,484.65",391.00,99.00,490.00,"9,091.56",08/04/2023 08:00:00.000 
12975,"5,673.95","1,811.13",449.00,"2,260.13","6,133.77",08/04/2023 08:00:00.000 
12972,"16,398.97","1,875.59",614.00,"2,489.59","17,643.86",08/03/2023 08:00:00.000 
12974,"15,588.93","3,068.39","2,744.00","5,812.39","20,816.13",08/03/2023 08:00:00.000 
12969,"9,851.00","3,264.16",349.00,"3,613.16","10,200.00",08/03/2023 08:00:00.000 
12968,"11,332.70","1,926.00",449.00,"2,375.00","12,797.41",08/02/2023 08:00:00.000 
12970,"5,537.00",785.20,"1,624.00","2,409.20","8,049.28",08/02/2023 08:00:00.000 
12959,"14,367.00",862.01,765.00,"1,627.01","15,746.83",07/29/2023 08:00:00.000 
12964,"17,289.60","3,308.52","2,858.00","6,166.52","22,891.04",07/29/2023 08:00:00.000 
12967,"10,709.65","1,632.00",844.00,"2,476.00","12,227.90",07/29/2023 08:00:00.000 
12953,"3,718.68",447.13,479.00,926.13,"4,531.24",07/29/2023 08:00:00.000 
12960,"7,495.00",-399.24,"1,465.00","1,065.76","9,997.33",07/28/2023 08:00:00.000 
12952,"9,925.00",100.00,0.00,100.00,"9,925.00",07/27/2023 08:00:00.000 
12958,"13,152.00","3,152.00",644.00,"3,796.00","14,318.96",07/27/2023 08:00:00.000 
12933,"15,366.73","1,631.00","2,238.00","3,869.00","20,839.73",07/27/2023 08:00:00.000 
12962,"7,519.00",938.65,911.00,"1,849.65","9,867.24",07/27/2023 08:00:00.000 
12961,"9,657.00",622.60,"3,095.00","3,717.60","14,916.06",07/27/2023 08:00:00.000 
12955,"9,100.00","1,600.00",649.00,"2,249.00","10,390.27",07/26/2023 08:00:00.000 
12957,"7,326.00",332.30,"1,094.25","1,426.55","9,161.96",07/26/2023 08:00:00.000 
12956,"2,020.83",-334.27,199.00,-135.27,"2,525.35",07/26/2023 08:00:00.000 
12963,"10,919.00","2,336.37",569.25,"2,905.62","11,592.25",07/25/2023 08:00:00.000 
12954,"15,999.00","-1,195.08","2,640.00","1,444.92","21,556.83",07/25/2023 08:00:00.000 
12951,"11,531.70",849.91,"2,549.00","3,398.91","16,099.01",07/22/2023 08:00:00.000 
12950,"8,882.98","1,475.95","2,865.00","4,340.95","12,501.38",07/22/2023 08:00:00.000 
12948,"3,799.00",77.33,320.00,397.33,"4,362.87",07/22/2023 08:00:00.000 
12947,"7,899.00","1,230.40","1,903.00","3,133.40","11,184.82",07/21/2023 08:00:00.000 
12944,"5,609.65",675.02,468.35,"1,143.37","6,182.00",07/20/2023 08:00:00.000 
12946,"14,551.00","5,403.01",945.00,"6,348.01","16,055.27",07/20/2023 08:00:00.000 
12945,"3,671.00",609.40,294.00,903.40,"4,187.00",07/20/2023 08:00:00.000 
12941,"7,019.00",448.57,864.00,"1,312.57","8,936.49",07/19/2023 08:00:00.000 
12940,"10,399.00","1,456.45",449.00,"1,905.45","10,848.00",07/19/2023 08:00:00.000 
12942,"29,551.29","1,909.00",449.00,"2,358.00","30,452.48",07/19/2023 08:00:00.000 
12939,"3,300.00","-1,399.15",564.00,-835.15,"4,006.43",07/19/2023 08:00:00.000 
12938,"25,734.74",835.49,818.00,"1,653.49","28,034.34",07/18/2023 08:00:00.000 
12930,"4,081.00",375.25,"1,052.00","1,427.25","6,013.13",07/15/2023 08:00:00.000 
